6	5	7	9	1	4	11	2	10	8	0	3
0	9	2	8	1	4	11	3	10	6	7	5
4	5	7	8	1	0	6	3	10	2	9	11
6	7	3	8	1	0	11	9	10	5	2	4
6	5	0	8	9	7	11	3	10	1	4	2
6	5	2	8	1	9	7	11	10	4	3	0
4	5	3	0	1	9	11	7	10	6	8	2
0	5	4	6	1	7	11	9	10	2	3	8
7	5	1	8	4	0	11	2	10	6	3	9
4	6	9	8	1	7	11	2	10	3	5	0
0	5	7	8	6	9	11	4	10	3	2	1
3	5	7	8	1	10	11	9	2	6	4	0
7	5	8	4	1	6	11	3	10	9	2	0
4	5	2	8	0	6	11	9	10	7	1	3
9	5	3	8	7	4	11	1	10	2	6	0
7	5	6	8	1	4	0	9	10	3	11	2
0	5	3	8	1	6	9	2	10	11	4	7
9	5	2	7	1	0	11	8	10	3	4	6
9	5	11	8	1	7	4	0	10	6	2	3
7	0	5	8	1	9	11	6	10	2	4	3
9	4	7	8	1	6	11	5	10	0	3	2
